Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cote d'Ivoire,CIV,..,2.40031003952026,3.45860004425049,3.31416988372803,3.49412989616394,3.93593001365662,3.73654007911682,3.21164989471436,3.44067001342773,3.78944993019104,3.37276005744934,3.51551008224487
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Croatia,HRV,..,6.112708568573,4.53844022750854,5.17615127563477,4.96908521652222,4.89622449874878,3.88921999931335,3.94578003883362,3.95437002182007,4.43442010879517,5.20366954803467,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cuba,CUB,..,7.70481014251709,10.6716957092285,9.6074686050415,8.96333694458008,9.01313304901123,..,..,9.04696941375732,11.5247964859009,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Curacao,CUW,..,..,5.10559988021851,..,7.36069011688232,7.23445272445679,..,6.81298160552979,6.62462139129639,7.72570848464966,7.01665163040161,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Cyprus,CYP,3.33924007415771,4.98954010009766,6.46747016906738,6.42111015319824,6.30491018295288,6.11811017990112,5.69961977005005,5.0396294593811,5.21296977996826,5.68628978729248,5.61941576004028,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Czechia,CZE,..,3.64034008979797,4.04676008224487,3.96522998809814,5.75182008743286,5.55373001098633,3.80615997314453,4.26605987548828,4.54246997833252,4.72159004211426,5.05326414108276,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Denmark,DNK,..,8.08434009552002,8.49442958831787,7.634850025177,7.01041460037231,7.4769401550293,7.11585998535156,7.00015020370483,6.9096999168396,7.38911008834839,6.03974866867065,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Djibouti,DJI,..,9.65999984741211,4.64782524108887,4.38407516479492,3.59894990921021,3.92226004600525,3.73344993591309,3.75143003463745,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Dominica,DMA,..,..,4.46448278427124,4.52459239959717,3.40858006477356,5.12971973419189,4.76675081253052,5.15360450744629,5.53449010848999,4.69630002975464,5.46584510803223,5.13293886184692
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Dominican Republic,DOM,..,1.88829004764557,3.62818145751953,3.62243437767029,3.6040027141571,3.85049557685852,3.9202675819397,3.91821074485779,4.04276895523071,4.51769828796387,3.74731349945068,3.75098896026611
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ecuador,ECU,..,1.15093004703522,5.00464010238647,5.26099014282227,4.99870014190674,4.36274814605713,4.6142578125,4.62145519256592,4.22565984725952,4.11401987075806,3.6913800239563,3.64703989028931
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Egypt, Arab Rep.",EGY,..,..,4.12252616882324,4.25138568878174,3.93084812164307,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,El Salvador,SLV,..,2.83868002891541,3.80149006843567,3.82416009902954,3.90987992286682,3.82523989677429,3.7252299785614,3.60575008392334,3.38710999488831,3.65957999229431,3.52807998657227,4.531418800354
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
